日期,实际值,预测值,误差,误差率(%)
2025-11-04,91.84,91.84908,0.009079999999997312,0.009886759581878606
2025-11-05,91.85,91.88286,0.032859999999999445,0.035775721284702716
2025-11-06,91.74,91.879524,0.13952400000000864,0.15208633093526122
2025-11-07,91.79,91.8921,0.10209999999999297,0.11123216036604529
2025-11-08,91.81,91.909904,0.09990399999999511,0.10881603311185613
2025-11-09,91.81,91.931015,0.12101499999999987,0.1318102603202264
2025-11-10,91.77,91.88321,0.11321000000000936,0.12336275471287934
2025-11-11,91.75,91.84602,0.09601999999999578,0.10465395095367387
2025-11-12,91.76,91.99469,0.2346900000000005,0.2557650392327817
2025-11-13,91.52,91.77473,0.2547300000000092,0.278332604895115
2025-11-14,91.52,91.807365,0.2873650000000083,0.31399147727273635
2025-11-15,91.57,91.89154,0.32154000000001304,0.35114120345092614
2025-11-16,91.57,91.9017,0.3317000000000121,0.3622365403516568
2025-11-17,91.62,91.93571,0.3157099999999957,0.3445863348613793
2025-11-18,91.5,91.89963,0.39963000000000193,0.43675409836065787
2025-11-19,91.49,91.909195,0.419195000000002,0.45818668706962734
2025-11-20,91.54,91.98662,0.4466199999999958,0.4878960017478651
2025-11-21,91.5,91.880875,0.3808750000000032,0.4162568306010964
2025-11-22,91.54,91.86393,0.32392999999999006,0.35386716189642786
2025-11-23,91.54,91.84224,0.3022399999999976,0.33017260214113786
2025-11-24,91.47,91.88113,0.41113,0.4494697715097846
2025-11-25,91.31,91.96027,0.6502699999999919,0.7121563903186857
2025-11-26,91.19,91.89739,0.7073900000000037,0.7757319881566002
2025-11-27,91.25,91.863594,0.6135940000000062,0.6724317808219246
2025-11-28,91.11,91.83619,0.7261900000000026,0.7970475249698196
2025-11-29,91.1,91.83541,0.7354100000000017,0.8072557628979163
2025-11-30,91.1,91.89857,0.7985700000000122,0.876586169045019
2025-12-01,90.97,91.97156,1.0015599999999978,1.1009783445091763
2025-12-02,91.0,91.93341,0.933409999999995,1.0257252747252692
2025-12-03,90.93,91.901436,0.9714359999999971,1.0683338832068592
